Date,Open,High,Low,Close,Adj Close,Volume
1981-02-10,0.121652,0.122210,0.121652,0.121652,0.095352,18345600
1981-02-11,0.118304,0.118304,0.117746,0.117746,0.092290,13843200
1981-02-12,0.117188,0.117188,0.116629,0.116629,0.091415,14560000
1981-02-13,0.114955,0.114955,0.113839,0.113839,0.089228,11155200
1981-02-17,0.116629,0.117188,0.116629,0.116629,0.091415,12275200
1981-02-18,0.121652,0.122768,0.121652,0.121652,0.095352,19241600
1981-02-19,0.114955,0.114955,0.114397,0.114397,0.089665,22310400
1981-02-20,0.108817,0.108817,0.108259,0.108259,0.084854,24371200
1981-02-23,0.109933,0.110491,0.109933,0.109933,0.086166,14112000
1981-02-24,0.107143,0.107143,0.106027,0.106027,0.083105,16979200
1981-02-25,0.112723,0.113281,0.112723,0.112723,0.088353,19488000
1981-02-26,0.114397,0.114955,0.114397,0.114397,0.089665,10841600
1981-02-27,0.118304,0.119420,0.118304,0.118304,0.092728,14761600
1981-03-02,0.118862,0.119420,0.118862,0.118862,0.093165,11760000
1981-03-03,0.117746,0.117746,0.117188,0.117188,0.091853,16172800
1981-03-04,0.116629,0.116629,0.116071,0.116071,0.090977,13708800
1981-03-05,0.116071,0.116071,0.115513,0.115513,0.090540,5376000
1981-03-06,0.115513,0.115513,0.114397,0.114397,0.089665,11603200
1981-03-09,0.106027,0.106027,0.105469,0.105469,0.082667,15321600
1981-03-10,0.101004,0.101004,0.100446,0.100446,0.078730,28380800
1981-03-11,0.097656,0.097656,0.096540,0.096540,0.075669,29859200
1981-03-12,0.100446,0.101004,0.100446,0.100446,0.078730,59248000
1981-03-13,0.099888,0.099888,0.099330,0.099330,0.077856,231302400
1981-03-16,0.103237,0.104353,0.103237,0.103237,0.080918,37228800
1981-03-17,0.108259,0.109375,0.108259,0.108259,0.084854,43747200
1981-03-18,0.114955,0.116071,0.114955,0.114955,0.090103,36937600
1981-03-19,0.114397,0.114397,0.113839,0.113839,0.089228,37811200
1981-03-20,0.114955,0.116071,0.114955,0.114955,0.090103,14604800
1981-03-23,0.119420,0.120536,0.119420,0.119420,0.093602,22019200
1981-03-24,0.119420,0.119420,0.118862,0.118862,0.093165,28156800
1981-03-25,0.117746,0.117746,0.116629,0.116629,0.091415,7056000
1981-03-26,0.114955,0.114955,0.114397,0.114397,0.089665,12275200
1981-03-27,0.111049,0.111049,0.110491,0.110491,0.086604,12252800
1981-03-30,0.110491,0.111607,0.110491,0.110491,0.086604,9900800
1981-03-31,0.110491,0.110491,0.109375,0.109375,0.085729,15993600
1981-04-01,0.108817,0.108817,0.108259,0.108259,0.084854,34070400
1981-04-02,0.117746,0.118304,0.117746,0.117746,0.092290,31404800
1981-04-03,0.118304,0.118862,0.118304,0.118304,0.092728,16486400
1981-04-06,0.116629,0.116629,0.116071,0.116071,0.090977,22803200
1981-04-07,0.115513,0.115513,0.114955,0.114955,0.090103,10684800
1981-04-08,0.120536,0.121652,0.120536,0.120536,0.094477,21952000
1981-04-09,0.122768,0.123326,0.122768,0.122768,0.096226,12499200
1981-04-10,0.124442,0.125000,0.124442,0.124442,0.097539,33465600
1981-04-13,0.124442,0.125000,0.124442,0.124442,0.097539,16060800
1981-04-14,0.124442,0.125000,0.124442,0.124442,0.097539,6652800
1981-04-15,0.118862,0.118862,0.118304,0.118304,0.092728,34048000
1981-04-16,0.112165,0.112165,0.111607,0.111607,0.087478,23878400
1981-04-20,0.114955,0.115513,0.114955,0.114955,0.090103,35347200
1981-04-21,0.122768,0.123326,0.122768,0.122768,0.096226,28537600
1981-04-22,0.127232,0.127790,0.127232,0.127232,0.099725,18995200
1981-04-23,0.130580,0.131138,0.130580,0.130580,0.102350,58016000
1981-04-24,0.130580,0.130580,0.129464,0.129464,0.101475,35056000
1981-04-27,0.128906,0.128906,0.128348,0.128348,0.100600,38528000
1981-04-28,0.126674,0.126674,0.126116,0.126116,0.098851,32188800
1981-04-29,0.125000,0.125000,0.124442,0.124442,0.097539,13641600
1981-04-30,0.126674,0.127790,0.126674,0.126674,0.099288,12611200
1981-05-01,0.126674,0.127790,0.126674,0.126674,0.099288,16553600
1981-05-04,0.126674,0.126674,0.126116,0.126116,0.098851,14448000
1981-05-05,0.126116,0.126116,0.125558,0.125558,0.098413,17539200
